From,To,Technology,Distance
0,1,truck,9.0
0,1,pipeline,9.0
0,2,truck,5.830951894845301
0,2,pipeline,5.830951894845301
0,2,train,5.830951894845301
0,3,truck,11.661903789690601
0,3,pipeline,11.661903789690601
0,4,truck,9.433981132056603
0,4,pipeline,9.433981132056603
0,5,truck,10.0
0,5,pipeline,10.0
1,0,truck,9.0
1,0,pipeline,9.0
1,2,truck,5.0
1,2,pipeline,5.0
1,3,truck,6.082762530298219
1,3,pipeline,6.082762530298219
1,4,truck,8.94427190999916
1,4,pipeline,8.94427190999916
1,5,truck,13.45362404707371
1,5,pipeline,13.45362404707371
2,0,truck,5.830951894845301
2,0,pipeline,5.830951894845301
2,0,train,5.830951894845301
2,1,truck,5.0
2,1,pipeline,5.0
2,3,truck,5.830951894845301
2,3,pipeline,5.830951894845301
2,3,train,5.830951894845301
2,4,truck,5.0
2,4,pipeline,5.0
2,5,truck,8.602325267042627
2,5,pipeline,8.602325267042627
3,0,truck,11.661903789690601
3,0,pipeline,11.661903789690601
3,1,truck,6.082762530298219
3,1,pipeline,6.082762530298219
3,2,truck,5.830951894845301
3,2,pipeline,5.830951894845301
3,2,train,5.830951894845301
3,4,truck,5.385164807134504
3,4,pipeline,5.385164807134504
3,5,truck,10.770329614269007
3,5,pipeline,10.770329614269007
4,0,truck,9.433981132056603
4,0,pipeline,9.433981132056603
4,1,truck,8.94427190999916
4,1,pipeline,8.94427190999916
4,2,truck,5.0
4,2,pipeline,5.0
4,3,truck,5.385164807134504
4,3,pipeline,5.385164807134504
4,5,truck,5.385164807134504
4,5,pipeline,5.385164807134504
5,0,truck,10.0
5,0,pipeline,10.0
5,1,truck,13.45362404707371
5,1,pipeline,13.45362404707371
5,2,truck,8.602325267042627
5,2,pipeline,8.602325267042627
5,3,truck,10.770329614269007
5,3,pipeline,10.770329614269007
5,4,truck,5.385164807134504
5,4,pipeline,5.385164807134504
